날짜,대여 자전거 수,시간(시),온도(°C),습도(%),풍속(m/s),가시거리(10m),태양 복사 에너지(MJ/m²),강수여부,적설여부,계절,공휴일 여부
2018-08-07,1232,17,35.6,44,2.4,1860,1.69,비 아님,눈 아님,여름,공휴일 아님
2018-07-11,964,12,28.1,73,2.1,1326,0.87,비 아님,눈 아님,여름,공휴일 아님
2018-08-05,942,23,28.8,79,1.3,1484,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-06,373,15,2.3,27,2.2,1877,0.92,비 아님,눈 아님,겨울,공휴일 아님
2018-09-14,1259,21,24.7,61,1.6,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-29,476,11,33.6,46,1.7,1965,2.6,비 아님,눈 아님,여름,공휴일 아님
2018-06-24,1062,13,30.6,31,2.7,1240,3.24,비 아님,눈 아님,여름,공휴일 아님
2018-01-30,253,12,-3.2,32,2.7,1900,1.01,비 아님,눈 아님,겨울,공휴일 아님
2018-10-01,2857,18,16.6,61,2.9,2000,0.16,비 아님,눈 아님,가을,공휴일 아님
2018-11-18,1039,17,8.7,42,1.7,1576,0.18,비 아님,눈 아님,가을,공휴일 아님
2018-10-19,1390,15,19.7,30,3.0,1971,1.89,비 아님,눈 아님,가을,공휴일 아님
2018-05-31,1401,7,14.9,71,0.9,651,0.47,비 아님,눈 아님,봄,공휴일 아님
2018-01-01,298,14,3.7,24,2.1,1906,1.01,비 아님,눈 아님,겨울,공휴일
2018-01-19,331,21,0.5,52,0.8,1595,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-04-07,57,5,1.6,62,4.9,1372,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-02-17,267,16,1.3,15,4.2,2000,1.63,비 아님,눈 아님,겨울,공휴일
2018-07-04,971,0,25.9,79,0.3,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-04-07,225,1,2.6,67,2.7,1053,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-01-15,209,7,4.4,87,1.0,357,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-10,226,17,3.6,65,4.3,1061,0.03,비 아님,눈,겨울,공휴일 아님
2018-06-07,1116,14,28.2,44,1.7,644,3.11,비 아님,눈 아님,여름,공휴일 아님
2018-10-21,342,3,9.2,68,0.4,1538,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-28,103,1,-7.5,45,2.4,1853,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-14,615,10,31.7,57,1.3,1875,1.25,비 아님,눈 아님,여름,공휴일 아님
2018-10-26,556,8,12.1,81,0.8,706,0.0,비,눈 아님,가을,공휴일 아님
2018-05-12,24,17,14.3,98,0.7,270,0.08,비,눈 아님,봄,공휴일 아님
2018-04-19,206,3,8.6,53,1.5,1185,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-10,133,4,20.6,97,0.5,1989,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-04-28,1435,20,15.1,34,2.2,1981,0.01,비 아님,눈 아님,봄,공휴일 아님
2018-03-23,283,1,2.5,75,1.5,786,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-06-17,238,5,19.0,85,0.8,567,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-04,234,5,29.2,62,2.1,1835,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-03-31,264,3,10.7,74,1.7,712,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-06-30,1235,14,27.5,69,0.5,736,1.84,비 아님,눈 아님,여름,공휴일 아님
2017-12-02,328,9,-2.9,68,1.6,1487,0.3,비 아님,눈 아님,겨울,공휴일 아님
2018-02-16,47,2,-4.1,38,1.2,1996,0.0,비 아님,눈 아님,겨울,공휴일
2018-10-13,1402,12,16.6,36,0.7,1442,2.45,비 아님,눈 아님,가을,공휴일 아님
2018-07-13,1439,23,26.2,84,1.0,1646,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-15,563,9,32.0,53,1.6,2000,1.56,비 아님,눈 아님,여름,공휴일
2018-06-03,437,3,18.0,64,1.3,1560,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-04-06,1235,8,5.9,90,2.8,1820,0.32,비 아님,눈 아님,봄,공휴일 아님
2018-07-23,1994,21,30.8,60,1.8,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-21,152,9,-3.2,46,0.8,1091,0.15,비 아님,눈 아님,겨울,공휴일 아님
