Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
SAN FRANCISCO INTL ARPT,B-747-400,,2001-02-01,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
HOUSTON-HOBBY,B-727-200,,1991-01-23,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,140.0
MINNEAPOLIS-ST PAUL INTL,A-320,,1998-04-26,NORTHWEST AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Night,0,0,0,
PORTLAND INTL (OR),B-757-200,,1997-12-10,UPS AIRLINES,Oregon,Approach,Small,Killdeer,Night,0,0,0,
LAGUARDIA NY,DC-9,,1991-01-06,US AIRWAYS*,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,130.0
BALTIMORE WASH INTL,B-737-300,,1998-07-31,US AIRWAYS*,Maryland,Climb,Large,Turkey vulture,Day,0,0,0,160.0
MINETA SAN JOSE INTL,A-319,,1999-03-19,UNITED AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
ORLANDO INTL,MD-80,,1990-11-04,US AIRWAYS*,Florida,Climb,Small,European starling,Day,0,0,0,125.0
SACRAMENTO INTL,B-737-500,Minor,1997-03-23,UNITED AIRLINES,California,Approach,Medium,Mallard,Night,0,0,0,135.0
PHILADELPHIA INTL,MD-80,,1996-03-20,TRANS WORLD AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,,1992-09-09,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,135.0
ATLANTA INTL,B-737-300,,2000-11-07,CONTINENTAL AIRLINES,Georgia,Approach,Large,Unknown bird - large,Night,0,0,0,110.0
LOGAN INTL,FOKKER F28 MK 1000,,1997-02-03,AMERICAN AIRLINES,Massachusetts,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
AUSTIN-BERGSTROM INTL,MD-82,,1991-08-26,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
ATLANTA INTL,B-727,,1998-10-13,DELTA AIR LINES,Georgia,Climb,Small,Unknown bird - small,Night,0,0,0,250.0
BALTIMORE WASH INTL,MD-88,,1992-07-26,DELTA AIR LINES,Maryland,Climb,Small,American robin,Day,0,0,0,
LIHUE ARPT,B-737-200,,1998-12-15,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,A-319,,2001-07-23,US AIRWAYS*,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LOGAN INTL,DHC8 DASH 8,,2002-01-22,BUSINESS,Massachusetts,Climb,Small,Unknown bird - small,Day,0,0,0,
WILL ROGERS WORLD ARPT,FOKKER F100,,1994-04-12,AMERICAN AIRLINES,Oklahoma,Landing Roll,Small,Unknown bird - small,Day,0,0,0,135.0
SACRAMENTO INTL,B-737-300,,1996-12-05,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,A-300,,2001-09-22,ASTAR AIR CARGO,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LOS ANGELES INTL,DC-10,,1995-10-27,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Night,0,0,0,200.0
DALLAS/FORT WORTH INTL ARPT,MD-80,,1995-10-14,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dawn,0,0,0,130.0
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,,1999-11-13,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
METRO OAKLAND INTL,B-737-300,,1997-04-07,SOUTHWEST AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
JOHN F KENNEDY INTL,SAAB-340,,2001-10-02,AMERICAN EAGLE AIRLINES,New York,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
NASHVILLE INTL,B-737-300,,1999-12-17,SOUTHWEST AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,155.0
DALLAS/FORT WORTH INTL ARPT,B-727,,1991-11-03,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,145.0
MINNEAPOLIS-ST PAUL INTL,B-727-200,,2000-08-22,DELTA AIR LINES,Minnesota,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
